1,Нью-Йорк,2021-05-06,07:50,Лондон,Исаев,Евгений
2,Владивосток,2021-05-05,03:05,Екатеринбург,Карагин,Николай
3,Лондон,2021-05-06,15:22,Киров,Никулин,Геннадий
4,Париж,2021-05-06,16:14,Екатеринбург,Никулин,Геннадий
5,Нью-Йорк,2021-05-04,15:22,Париж,Филиппов,Артём
6,Лондон,2021-05-05,03:05,Париж,Сидоров,Геннадий
7,Нью-Йорк,2021-05-04,07:50,Владивосток,Дубровский,Федор
8,Нью-Йорк,2021-05-06,03:05,Москва,Петренко,Геннадий
9,Киров,2021-05-05,05:30,Владивосток,Филиппов,Евгений
10,Екатеринбург,2021-05-05,03:05,Владивосток,Исаев,Геннадий
11,Екатеринбург,2021-05-05,03:05,Лондон,Исаев,Евгений
12,Париж,2021-05-06,15:22,Екатеринбург,Дубровский,Николай
13,Нью-Йорк,2021-05-07,07:50,Лондон,Карагин,Геннадий
14,Нью-Йорк,2021-05-06,03:05,Москва,Сидоров,Федор
15,Москва,2021-05-05,16:14,Екатеринбург,Санин,Роман
16,Лондон,2021-05-05,15:50,Екатеринбург,Санин,Артём
17,Киров,2021-05-07,15:50,Париж,Иванов,Иван
18,Екатеринбург,2021-05-05,15:22,Киров,Карагин,Артём
19,Лондон,2021-05-05,03:05,Нью-Йорк,Иванов,Иван
20,Лондон,2021-05-05,00:50,Нью-Йорк,Петренко,Геннадий
21,Париж,2021-05-06,00:50,Москва,Сидоров,Евгений
22,Владивосток,2021-05-05,15:50,Киров,Филиппов,Роман
23,Нью-Йорк,2021-05-05,16:14,Екатеринбург,Филиппов,Николай
24,Нью-Йорк,2021-05-07,16:14,Владивосток,Санин,Артём
25,Париж,2021-05-07,03:05,Екатеринбург,Меньшиков,Роман
26,Киров,2021-05-04,03:05,Владивосток,Дубровский,Геннадий
27,Владивосток,2021-05-06,07:50,Москва,Санин,Иван
28,Екатеринбург,2021-05-06,16:14,Владивосток,Никулин,Роман
29,Екатеринбург,2021-05-04,00:50,Москва,Сидоров,Геннадий
30,Москва,2021-05-07,07:50,Лондон,Петренко,Николай
31,Лондон,2021-05-06,15:22,Владивосток,Санин,Артём
32,Нью-Йорк,2021-05-05,05:30,Париж,Меньшиков,Артём
33,Нью-Йорк,2021-05-06,15:50,Киров,Петренко,Иван
34,Лондон,2021-05-04,03:05,Москва,Никулин,Федор
35,Нью-Йорк,2021-05-04,15:22,Париж,Дубровский,Артём
36,Владивосток,2021-05-05,05:30,Лондон,Сидоров,Артём
37,Екатеринбург,2021-05-05,07:50,Владивосток,Карагин,Николай
38,Киров,2021-05-05,00:50,Владивосток,Петренко,Роман
39,Лондон,2021-05-07,15:22,Москва,Исаев,Артём
40,Киров,2021-05-07,00:50,Париж,Исаев,Евгений
41,Владивосток,2021-05-05,15:22,Москва,Исаев,Артём
42,Москва,2021-05-06,15:22,Нью-Йорк,Дубровский,Евгений
43,Лондон,2021-05-07,03:05,Нью-Йорк,Меньшиков,Евгений
44,Нью-Йорк,2021-05-04,15:50,Екатеринбург,Санин,Федор
45,Киров,2021-05-04,16:14,Париж,Никулин,Роман
46,Владивосток,2021-05-06,00:50,Нью-Йорк,Иванов,Артём
47,Екатеринбург,2021-05-04,03:05,Нью-Йорк,Сидоров,Федор
48,Нью-Йорк,2021-05-05,07:50,Париж,Меньшиков,Евгений
49,Екатеринбург,2021-05-05,05:30,Нью-Йорк,Сидоров,Артём
50,Москва,2021-05-07,15:22,Владивосток,Исаев,Роман
51,Нью-Йорк,2021-05-07,05:30,Москва,Филиппов,Роман
52,Екатеринбург,2021-05-07,07:50,Лондон,Иванов,Геннадий
53,Москва,2021-05-04,00:50,Париж,Исаев,Артём
54,Владивосток,2021-05-05,15:50,Москва,Дубровский,Федор
55,Владивосток,2021-05-06,07:50,Лондон,Никулин,Артём
56,Москва,2021-05-07,00:50,Екатеринбург,Сидоров,Иван
57,Киров,2021-05-04,00:50,Екатеринбург,Санин,Геннадий
58,Москва,2021-05-04,15:50,Владивосток,Санин,Евгений
59,Владивосток,2021-05-06,00:50,Париж,Филиппов,Евгений
60,Екатеринбург,2021-05-06,05:30,Владивосток,Сидоров,Евгений
